Pod,Setup,Rank,Name(s),"Victory
Pile 1","Victory
Pile 2","Total
VP",Win?,,Turns,,Escaped Villains,,Points per Turn,,Total Rank Points,,VP Difference,Bystanders Rescued,Cards Left in Villain Deck,,,,,,,Attempt 1 Hero Choices,,Attempt 2 Hero Choices,,Attempt Submitted,Fun Level,Comments,
,,,,,,,,,,,,,,,,,,,Strikes,Twists,Villains,Henchmen,Bystanders,Other,Total,1,2,1,2,,,,
,,,,,,,Rank,Points,Rank,Points,Rank,Points,Rank,Points,,,,,,,,,,,,,,,,,,,
,,,,Upper Bracket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E8,Dr. Ray-Ban,1,WingedCrusader,61,15,76,1st,Yes (3),3rd,24 (3),1st,0 (4.5),1st,3.167 (5),15.5,,46,4,2,2,8,2,1,0,15,Black Widow,Hawkeye,Black Widow,Iron Man,Second attempt,4,"This one was another fun one, but I don't like schemes where it is just get unlucky and lose after x twists.  Regardless, First run I had a really nice black widow deck.  Next one I managed to get a great tech focus deck, using the recruit to buy 3/5 of the rares (black widow, ironman, hulk) and got the win with lots of carddraw and big power.  What more could you ask for?","This one was another fun one, but I don't like schemes where it is just get unlucky and lose after x twists.  Regardless, First run I had a really nice black widow deck.  Next one I managed to get a great tech focus deck, using the recruit to buy 3/5 of the rares (black widow, ironman, hulk) and got the win with lots of carddraw and big power.  What more could you ask for?"
,,2,Cobrawarrior521 & Cobrev,11,42,53,1st,Yes (3),2nd,23 (4),1st,0 (4.5),5th,2.304 (1),12.5,,31,0,2,4,7,2,2,0,17,Storm,Human Torch,Storm,Human Torch,First attempt,3,N/A,N/A
,,3,Mangostrike,29,24,53,1st,Yes (3),1st,21 (5),3rd,1 (2),4th,2.524 (2),12,,5,2,2,2,8,3,1,0,16,Human Torch,Thor (Avengers),Hawkeye,Iron Man,First attempt,3,"My performance was better first game, but I think my heroes were better in the second game. Unfortunately both hands pulled 4/2 for the first 4 turns and the HQ was filled with 5 heroes that cost 5 recruit which is basically a non starter. I liked the synergies of both sets of heroes though.","My performance was better first game, but I think my heroes were better in the second game. Unfortunately both hands pulled 4/2 for the first 4 turns and the HQ was filled with 5 heroes that cost 5 recruit which is basically a non starter. I liked the synergies of both sets of heroes though."
,,4,jgoodnough,44,57,101,1st,Yes (3),5th,37 (1),3rd,1 (2),2nd,2.73 (4),10,,13,3,0,0,0,0,0,0,0,Storm,Iron Man,Storm,Iron Man,First attempt,1,This scheme was not very exciting.  I never got close to the 'Evil Wins' condition and ended up running through the whole villain deck both games.  Luckily I pulled hit the Final Blow on the last draw of the villain deck on the first game.  Second ended up being a Draw.,This scheme was not very exciting.  I never got close to the 'Evil Wins' condition and ended up running through the whole villain deck both games.  Luckily I pulled hit the Final Blow on the last draw of the villain deck on the first game.  Second ended up being a Draw.
,,5,Astigmatic_Oracle,46,30,76,1st,Yes (3),4th,28 (2),3rd,1 (2),3rd,2.714 (3),10,,16,1,0,3,6,1,1,0,11,Human Torch,Iron Man,I did not play a second attempt.,I did not play a second attempt.,First attempt,5,A fun easy setup. I did a Mr Fantastic and IronMan deck on one side and managed to defeat both ultrons for some serious points!,A fun easy setup. I did a Mr Fantastic and IronMan deck on one side and managed to defeat both ultrons for some serious points!
,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,8,SharkNate-O & onthegeniusofsamrockwell,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
